,Date,2,5,3,4
204,2015-12-11,30.765,30.765,30.765,30.765
205,2015-12-14,31.0886,31.0886,31.0886,31.0886
206,2015-12-15,30.4661,30.4661,30.4661,30.4661
207,2015-12-16,30.2768,30.2768,30.2768,30.2768
208,2015-12-17,29.274,29.274,29.274,29.274
209,2015-12-18,26.0774,26.0774,26.0774,26.0774
210,2015-12-21,26.6077,26.6077,26.6077,26.6077
211,2015-12-22,27.6896,27.6896,27.6896,27.6896
212,2015-12-23,28.0433,28.0433,28.0433,28.0433
213,2015-12-24,27.1862,27.1862,27.1862,27.1862
214,2015-12-25,26.2795,26.2795,26.2795,26.2795
215,2015-12-28,28.1345,28.1345,28.1345,28.1345
216,2015-12-29,27.2792,27.2792,27.2792,27.2792
217,2015-12-30,27.4574,27.4574,27.4574,27.4574
218,2015-12-31,27.9499,27.9499,27.9499,27.9499
219,2016-01-04,33.4391,33.4391,33.4391,33.4391
220,2016-01-05,32.1793,32.1793,32.1793,32.1793
221,2016-01-06,31.5087,31.5087,31.5087,31.5087
222,2016-01-07,23.3302,23.3302,23.3302,23.3302
223,2016-01-08,35.2173,35.2173,35.2173,35.2173
224,2016-01-11,33.8108,33.8108,33.8108,33.8108
225,2016-01-12,35.9145,35.9145,35.9145,35.9145
226,2016-01-13,34.7175,34.7175,34.7175,34.7175
227,2016-01-14,37.8001,37.8001,37.8001,37.8001
228,2016-01-15,35.4913,35.4913,35.4913,35.4913
229,2016-01-18,37.241,37.241,37.241,37.241
230,2016-01-19,37.3542,37.3542,37.3542,37.3542
231,2016-01-20,36.8065,36.8065,36.8065,36.8065
232,2016-01-21,35.1243,35.1243,35.1243,35.1243
233,2016-01-22,34.8739,34.8739,34.8739,34.8739
234,2016-01-25,34.743,34.743,34.743,34.743
235,2016-01-26,32.0158,32.0158,32.0158,32.0158
236,2016-01-27,38.4646,38.4646,38.4646,38.4646
237,2016-01-28,37.6672,37.6672,37.6672,37.6672
238,2016-01-29,38.9525,38.9525,38.9525,38.9525
239,2016-02-01,36.3725,36.3725,36.3725,36.3725
240,2016-02-02,35.1385,35.1385,35.1385,35.1385
241,2016-02-03,34.7962,34.7962,34.7962,34.7962
242,2016-02-04,34.5206,34.5206,34.5206,34.5206
243,2016-02-05,35.3771,35.3771,35.3771,35.3771
244,2016-02-15,37.3898,37.3898,37.3898,37.3898
245,2016-02-16,36.648,36.648,36.648,36.648
246,2016-02-17,35.5034,35.5034,35.5034,35.5034
247,2016-02-18,33.7867,33.7867,33.7867,33.7867
248,2016-02-19,32.2169,32.2169,32.2169,32.2169
249,2016-02-22,31.4423,31.4423,31.4423,31.4423
250,2016-02-23,32.3801,32.3801,32.3801,32.3801
251,2016-02-24,32.483000000000004,32.483000000000004,32.483000000000004,32.483000000000004
252,2016-02-25,33.8487,33.8487,33.8487,33.8487
253,2016-02-26,32.5314,32.5314,32.5314,32.5314
254,2016-02-29,32.6322,32.6322,32.6322,32.6322
255,2016-03-01,31.5121,31.5121,31.5121,31.5121
256,2016-03-02,33.1463,33.1463,33.1463,33.1463
257,2016-03-03,33.118,33.118,33.118,33.118
258,2016-03-04,33.0071,33.0071,33.0071,33.0071
259,2016-03-07,33.8201,33.8201,33.8201,33.8201
260,2016-03-08,33.4159,33.4159,33.4159,33.4159
261,2016-03-09,33.4663,33.4663,33.4663,33.4663
262,2016-03-10,33.6364,33.6364,33.6364,33.6364
263,2016-03-11,33.635999999999996,33.635999999999996,33.635999999999996,33.635999999999996
264,2016-03-14,33.2841,33.2841,33.2841,33.2841
265,2016-03-15,32.6382,32.6382,32.6382,32.6382
266,2016-03-16,31.8899,31.8899,31.8899,31.8899
267,2016-03-17,31.2471,31.2471,31.2471,31.2471
268,2016-03-18,31.1629,31.1629,31.1629,31.1629
269,2016-03-21,31.5606,31.5606,31.5606,31.5606
270,2016-03-22,33.1125,33.1125,33.1125,33.1125
271,2016-03-23,34.0404,34.0404,34.0404,34.0404
272,2016-03-24,32.9049,32.9049,32.9049,32.9049
273,2016-03-25,30.9842,30.9842,30.9842,30.9842
274,2016-03-28,31.0957,31.0957,31.0957,31.0957
275,2016-03-29,31.2112,31.2112,31.2112,31.2112
276,2016-03-30,30.8728,30.8728,30.8728,30.8728
277,2016-03-31,30.9589,30.9589,30.9589,30.9589
278,2016-04-01,30.4957,30.4957,30.4957,30.4957
279,2016-04-05,30.1875,30.1875,30.1875,30.1875
280,2016-04-06,29.9619,29.9619,29.9619,29.9619
281,2016-04-07,28.8004,28.8004,28.8004,28.8004
282,2016-04-08,27.6604,27.6604,27.6604,27.6604
283,2016-04-11,27.6271,27.6271,27.6271,27.6271
284,2016-04-12,26.6528,26.6528,26.6528,26.6528
285,2016-04-13,26.4958,26.4958,26.4958,26.4958
286,2016-04-14,26.0574,26.0574,26.0574,26.0574
287,2016-04-15,26.0488,26.0488,26.0488,26.0488
288,2016-04-18,26.194000000000003,26.194000000000003,26.194000000000003,26.194000000000003
289,2016-04-19,25.4861,25.4861,25.4861,25.4861
290,2016-04-20,25.618000000000002,25.618000000000002,25.618000000000002,25.618000000000002
291,2016-04-21,25.053,25.053,25.053,25.053
292,2016-04-22,24.5153,24.5153,24.5153,24.5153
293,2016-04-25,25.1649,25.1649,25.1649,25.1649
294,2016-04-26,25.5286,25.5286,25.5286,25.5286
295,2016-04-27,25.4694,25.4694,25.4694,25.4694
296,2016-04-28,24.4013,24.4013,24.4013,24.4013
297,2016-04-29,23.5798,23.5798,23.5798,23.5798
298,2016-05-03,23.4131,23.4131,23.4131,23.4131
299,2016-05-04,22.864,22.864,22.864,22.864
300,2016-05-05,22.5297,22.5297,22.5297,22.5297
301,2016-05-06,23.4901,23.4901,23.4901,23.4901
302,2016-05-09,26.1118,26.1118,26.1118,26.1118
303,2016-05-10,24.8869,24.8869,24.8869,24.8869
304,2016-05-11,23.4724,23.4724,23.4724,23.4724
305,2016-05-12,23.4546,23.4546,23.4546,23.4546
306,2016-05-13,22.7878,22.7878,22.7878,22.7878
307,2016-05-16,22.4988,22.4988,22.4988,22.4988
308,2016-05-17,22.026,22.026,22.026,22.026
309,2016-05-18,22.1293,22.1293,22.1293,22.1293
310,2016-05-19,21.4203,21.4203,21.4203,21.4203
311,2016-05-20,20.5421,20.5421,20.5421,20.5421
312,2016-05-23,19.8213,19.8213,19.8213,19.8213
313,2016-05-24,19.6363,19.6363,19.6363,19.6363
314,2016-05-25,20.2828,20.2828,20.2828,20.2828
315,2016-05-26,18.8977,18.8977,18.8977,18.8977
316,2016-05-27,18.3706,18.3706,18.3706,18.3706
317,2016-05-30,18.5749,18.5749,18.5749,18.5749
318,2016-05-31,21.5131,21.5131,21.5131,21.5131
319,2016-06-01,20.8555,20.8555,20.8555,20.8555
320,2016-06-02,20.6862,20.6862,20.6862,20.6862
321,2016-06-03,20.7885,20.7885,20.7885,20.7885
322,2016-06-06,20.8756,20.8756,20.8756,20.8756
323,2016-06-07,20.6707,20.6707,20.6707,20.6707
324,2016-06-08,21.0099,21.0099,21.0099,21.0099
325,2016-06-13,22.483,23.0635,23.0635,22.2546
326,2016-06-14,22.6655,21.879,22.6663,21.3992
327,2016-06-15,22.1608,19.702,22.3196,19.6253
328,2016-06-16,19.7734,19.3382,19.8222,18.7644
329,2016-06-17,19.1822,18.492,19.2218,18.4731
330,2016-06-20,19.1989,19.3271,19.7252,19.1122
331,2016-06-21,19.485,19.2386,19.8089,19.1786
332,2016-06-22,19.5204,19.8438,19.8535,19.2077
333,2016-06-23,19.8251,20.343,20.3566,19.8251
334,2016-06-24,20.6858,20.7115,22.6863,20.5952
335,2016-06-27,21.6903,20.4254,21.6908,20.3855
336,2016-06-28,20.8597,19.6695,20.8603,19.5896
337,2016-06-29,19.7401,19.2344,19.807000000000002,19.0413
338,2016-06-30,19.2057,18.578,19.267,18.4369
339,2016-07-01,18.7877,18.2145,18.7885,18.2145
340,2016-07-04,19.0418,18.2731,19.0778,18.2373
341,2016-07-05,18.7268,18.6359,18.8415,18.5516
342,2016-07-06,18.9505,18.6521,18.9934,18.5925
343,2016-07-07,18.7744,19.3006,19.3006,18.7744
344,2016-07-08,19.4357,19.2953,19.5804,19.2657
345,2016-07-11,19.8483,18.9971,19.8757,18.9468
346,2016-07-12,19.1539,18.9053,19.1826,18.4164
347,2016-07-13,19.4364,19.6865,19.9133,19.4048
348,2016-07-14,19.867,19.4933,20.0541,19.4388
349,2016-07-15,19.6429,19.5505,19.7854,19.3989
350,2016-07-18,20.4089,20.314,20.4679,20.1484
351,2016-07-19,20.4348,20.4041,20.5386,20.1698
352,2016-07-20,20.3833,20.2225,20.4967,20.0188
353,2016-07-21,20.3651,20.2729,20.7635,20.1481
354,2016-07-22,20.4161,20.0042,20.449,19.9469
355,2016-07-25,20.8557,19.8713,20.9325,19.8111
356,2016-07-26,20.1461,19.4558,20.1954,19.4188
357,2016-07-27,19.6483,20.3223,21.2886,19.4517
358,2016-07-28,20.0605,18.8861,20.3275,18.8844
359,2016-07-29,19.1447,18.7509,19.1456,18.6646
360,2016-08-01,19.5433,18.762999999999998,19.544,18.7522
361,2016-08-02,18.8988,18.2883,19.0142,18.250999999999998
362,2016-08-03,18.5806,17.8353,18.5813,17.7951
363,2016-08-04,18.0081,17.4533,18.0088,17.4533
364,2016-08-05,17.7227,17.1125,17.7234,17.055999999999997
365,2016-08-08,17.8156,17.0112,18.0842,16.9907
366,2016-08-09,17.1846,16.6417,17.1853,16.5127
367,2016-08-10,16.7966,16.6516,16.9018,16.6514
368,2016-08-11,16.8536,16.801,17.2589,16.6457
369,2016-08-12,16.9161,17.691,17.734,16.7904
370,2016-08-15,17.5492,20.1911,20.5032,17.4499
371,2016-08-16,21.4548,19.3581,21.5647,19.2938
372,2016-08-17,19.6298,19.3437,19.7996,19.2108
373,2016-08-18,19.5123,19.4756,19.9469,19.3698
374,2016-08-19,19.3697,19.4476,20.5731,19.3086
375,2016-08-22,20.0722,19.7288,20.4842,19.6695
376,2016-08-23,19.7954,19.4184,20.0182,19.3122
377,2016-08-24,19.7423,19.4684,19.7431,19.3069
378,2016-08-25,19.7843,19.7053,20.2135,19.7006
379,2016-08-26,20.0309,19.5985,20.0317,19.4273
380,2016-08-29,20.3903,20.1185,20.4163,20.1057
381,2016-08-30,20.1541,20.1023,20.3563,19.9257
382,2016-08-31,20.4967,20.4689,20.4971,20.1588
