,1,2,3,4,5
311,1463702400000,20.5421,20.5421,20.5421,20.5421
312,1463961600000,19.8213,19.8213,19.8213,19.8213
313,1464048000000,19.6363,19.6363,19.6363,19.6363
314,1464134400000,20.2828,20.2828,20.2828,20.2828
315,1464220800000,18.8977,18.8977,18.8977,18.8977
316,1464307200000,18.3706,18.3706,18.3706,18.3706
317,1464566400000,18.5749,18.5749,18.5749,18.5749
318,1464652800000,21.5131,21.5131,21.5131,21.5131
319,1464739200000,20.8555,20.8555,20.8555,20.8555
320,1464825600000,20.6862,20.6862,20.6862,20.6862
321,1464912000000,20.7885,20.7885,20.7885,20.7885
322,1465171200000,20.8756,20.8756,20.8756,20.8756
323,1465257600000,20.6707,20.6707,20.6707,20.6707
324,1465344000000,21.0099,21.0099,21.0099,21.0099
325,1465776000000,22.483,23.0635,22.2546,23.0635
326,1465862400000,22.6655,22.6663,21.3992,21.879
327,1465948800000,22.1608,22.3196,19.6253,19.702
328,1466035200000,19.7734,19.8222,18.7644,19.3382
329,1466121600000,19.1822,19.2218,18.4731,18.492
330,1466380800000,19.1989,19.7252,19.1122,19.3271
331,1466467200000,19.485,19.8089,19.1786,19.2386
332,1466553600000,19.5204,19.8535,19.2077,19.8438
333,1466640000000,19.8251,20.3566,19.8251,20.343
334,1466726400000,20.6858,22.6863,20.5952,20.7115
335,1466985600000,21.6903,21.6908,20.3855,20.4254
336,1467072000000,20.8597,20.8603,19.5896,19.6695
337,1467158400000,19.7401,19.807000000000002,19.0413,19.2344
338,1467244800000,19.2057,19.267,18.4369,18.578
339,1467331200000,18.7877,18.7885,18.2145,18.2145
340,1467590400000,19.0418,19.0778,18.2373,18.2731
341,1467676800000,18.7268,18.8415,18.5516,18.6359
342,1467763200000,18.9505,18.9934,18.5925,18.6521
343,1467849600000,18.7744,19.3006,18.7744,19.3006
344,1467936000000,19.4357,19.5804,19.2657,19.2953
345,1468195200000,19.8483,19.8757,18.9468,18.9971
346,1468281600000,19.1539,19.1826,18.4164,18.9053
347,1468368000000,19.4364,19.9133,19.4048,19.6865
348,1468454400000,19.867,20.0541,19.4388,19.4933
349,1468540800000,19.6429,19.7854,19.3989,19.5505
350,1468800000000,20.4089,20.4679,20.1484,20.314
351,1468886400000,20.4348,20.5386,20.1698,20.4041
352,1468972800000,20.3833,20.4967,20.0188,20.2225
353,1469059200000,20.3651,20.7635,20.1481,20.2729
354,1469145600000,20.4161,20.449,19.9469,20.0042
355,1469404800000,20.8557,20.9325,19.8111,19.8713
356,1469491200000,20.1461,20.1954,19.4188,19.4558
357,1469577600000,19.6483,21.2886,19.4517,20.3223
358,1469664000000,20.0605,20.3275,18.8844,18.8861
359,1469750400000,19.1447,19.1456,18.6646,18.7509
360,1470009600000,19.5433,19.544,18.7522,18.762999999999998
361,1470096000000,18.8988,19.0142,18.250999999999998,18.2883
362,1470182400000,18.5806,18.5813,17.7951,17.8353
363,1470268800000,18.0081,18.0088,17.4533,17.4533
364,1470355200000,17.7227,17.7234,17.055999999999997,17.1125
365,1470614400000,17.8156,18.0842,16.9907,17.0112
366,1470700800000,17.1846,17.1853,16.5127,16.6417
367,1470787200000,16.7966,16.9018,16.6514,16.6516
