,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2019/2/19,50ETF沽2018年5月2.60,认沽,2.6,2018/5/23 0:00,0.0001
2019/2/20,50ETF沽2018年5月2.60,认沽,2.6,2018/5/23 0:00,0.0001
2019/2/21,50ETF沽2018年5月2.60,认沽,2.6,2018/5/23 0:00,0.0001
2019/2/22,50ETF沽2018年5月2.60,认沽,2.6,2018/5/23 0:00,0.0001
2019/2/25,50ETF沽2018年5月2.60,认沽,2.6,2018/5/23 0:00,0.0001
2019/2/26,50ETF沽2018年5月2.60,认沽,2.6,2018/5/23 0:00,0.0001
2019/2/1,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/11,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/12,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/13,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/14,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/15,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/18,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/19,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/20,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/21,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/22,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/25,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/26,50ETF沽2018年5月2.65,认沽,2.65,2018/5/23 0:00,0.0001
2019/2/1,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/11,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/12,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/13,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/14,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/15,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/18,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/19,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/20,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/21,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/22,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/25,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/26,50ETF沽2018年5月2.70,认沽,2.7,2018/5/23 0:00,0.0385
2019/2/1,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/11,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/12,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/13,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/14,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/15,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/18,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/19,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/20,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/21,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/22,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/25,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/26,50ETF沽2018年5月2.75,认沽,2.75,2018/5/23 0:00,0.087
2019/2/1,50ETF沽2018年5月2.80,认沽,2.8,2018/5/23 0:00,0.1335
2019/2/11,50ETF沽2018年5月2.80,认沽,2.8,2018/5/23 0:00,0.1335
2019/2/12,50ETF沽2018年5月2.80,认沽,2.8,2018/5/23 0:00,0.1335
